S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Alathur (9),K.RADHAKRISHNAN,403447,20111
2,SIKAR(5),AMRARAM,659300,72896
3,DINDIGUL(22),SACHITHANANTHAM R,670149,443821
4,MADURAI(32),VENKATESAN S,430323,209409
