S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Mandya(20),H.D. KUMARASWAMY,851881,284620
2,Kolar(28),M. MALLESH BABU,691481,71388
Download Voter helpline app to see results on mobile,,,,
,,,,
Last Updated at 08:55 am On 05/06/2024,,,,
