ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
156,Lakshadweep,Lakshadweep(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/MUHAM-2024-1146.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/MOHAM-2024-20240326102235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/YOUSU-2024-1294.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/KOYA-2024-1219.jpg', 'img/nota.jpg']",won,25726,(+ 2647),MUHAMMED HAMDULLAH SAYEED,Indian National Congress
157,Lakshadweep,Lakshadweep(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/MUHAM-2024-1146.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/MOHAM-2024-20240326102235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/YOUSU-2024-1294.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/KOYA-2024-1219.jpg', 'img/nota.jpg']",lost,23079,( -2647),MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar
158,Lakshadweep,Lakshadweep(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/MUHAM-2024-1146.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/MOHAM-2024-20240326102235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/YOUSU-2024-1294.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/KOYA-2024-1219.jpg', 'img/nota.jpg']",lost,201,( -25525),YOUSUF TP,Nationalist Congress Party
159,Lakshadweep,Lakshadweep(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/MUHAM-2024-1146.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/MOHAM-2024-20240326102235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/YOUSU-2024-1294.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/KOYA-2024-1219.jpg', 'img/nota.jpg']",lost,61,( -25665),KOYA,Independent
160,Lakshadweep,Lakshadweep(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/MUHAM-2024-1146.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/MOHAM-2024-20240326102235.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/YOUSU-2024-1294.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U06/KOYA-2024-1219.jpg', 'img/nota.jpg']",,133,( -25593),NOTA,None of the Above
