ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
105,Nagaland,Nagaland(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S17/SSUPO-2024-602.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S17/DRCHU-2024-565.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S17/HAYIT-2024-93.jpg', 'img/nota.jpg']",won,401951,(+ 50984),S SUPONGMEREN JAMIR,Indian National Congress
106,Nagaland,Nagaland(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S17/SSUPO-2024-602.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S17/DRCHU-2024-565.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S17/HAYIT-2024-93.jpg', 'img/nota.jpg']",lost,350967,( -50984),DR CHUMBEN MURRY,Nationalist Democratic Progressive Party
107,Nagaland,Nagaland(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S17/SSUPO-2024-602.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S17/DRCHU-2024-565.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S17/HAYIT-2024-93.jpg', 'img/nota.jpg']",lost,6232,( -395719),HAYITHUNG TUNGOE LOTHA,Independent
108,Nagaland,Nagaland(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S17/SSUPO-2024-602.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S17/DRCHU-2024-565.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S17/HAYIT-2024-93.jpg', 'img/nota.jpg']",,1646,( -400305),NOTA,None of the Above
