ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
248,Madhya Pradesh,KHANDWA(28),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GYANE-2024-20240430025118.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NAREN-2024-6833.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUNNA-2024-7760.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABHIN-2024-8862.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/LAXMI-2024-7746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MANOJ-2024-20240430024726.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MAHES-2024-7387.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SHIVA-2024-8786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAVIN-2024-8799.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PRAKA-2024-7399.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NARAY-2024-20240430010128.jpg', 'img/nota.jpg']",lost,592708,( -269971),NARENDRA PATEL,Indian National Congress
249,Madhya Pradesh,KHANDWA(28),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GYANE-2024-20240430025118.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NAREN-2024-6833.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUNNA-2024-7760.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABHIN-2024-8862.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/LAXMI-2024-7746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MANOJ-2024-20240430024726.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MAHES-2024-7387.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SHIVA-2024-8786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAVIN-2024-8799.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PRAKA-2024-7399.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NARAY-2024-20240430010128.jpg', 'img/nota.jpg']",lost,11818,( -850861),MUNNALAL S/O DHANNALAL TEJI,Bahujan Samaj Party
250,Madhya Pradesh,KHANDWA(28),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GYANE-2024-20240430025118.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NAREN-2024-6833.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUNNA-2024-7760.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABHIN-2024-8862.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/LAXMI-2024-7746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MANOJ-2024-20240430024726.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MAHES-2024-7387.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SHIVA-2024-8786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAVIN-2024-8799.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PRAKA-2024-7399.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NARAY-2024-20240430010128.jpg', 'img/nota.jpg']",lost,9299,( -853380),ABHINESH SINGH,Rashtriya Jan Awaz Party
251,Madhya Pradesh,KHANDWA(28),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GYANE-2024-20240430025118.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NAREN-2024-6833.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUNNA-2024-7760.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABHIN-2024-8862.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/LAXMI-2024-7746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MANOJ-2024-20240430024726.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MAHES-2024-7387.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SHIVA-2024-8786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAVIN-2024-8799.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PRAKA-2024-7399.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NARAY-2024-20240430010128.jpg', 'img/nota.jpg']",lost,4905,( -857774),LAXMI NARAYAN KATARE,Independent
252,Madhya Pradesh,KHANDWA(28),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GYANE-2024-20240430025118.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NAREN-2024-6833.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUNNA-2024-7760.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABHIN-2024-8862.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/LAXMI-2024-7746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MANOJ-2024-20240430024726.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MAHES-2024-7387.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SHIVA-2024-8786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAVIN-2024-8799.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PRAKA-2024-7399.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NARAY-2024-20240430010128.jpg', 'img/nota.jpg']",lost,4347,( -858332),MANOJ KUMAR VISHWAMBHARNATH AGRAWAL,Independent
253,Madhya Pradesh,KHANDWA(28),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GYANE-2024-20240430025118.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NAREN-2024-6833.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUNNA-2024-7760.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABHIN-2024-8862.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/LAXMI-2024-7746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MANOJ-2024-20240430024726.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MAHES-2024-7387.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SHIVA-2024-8786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAVIN-2024-8799.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PRAKA-2024-7399.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NARAY-2024-20240430010128.jpg', 'img/nota.jpg']",lost,3709,( -858970),MAHESH PAWAR,Peoples Party of India (Democratic)
254,Madhya Pradesh,KHANDWA(28),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GYANE-2024-20240430025118.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NAREN-2024-6833.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUNNA-2024-7760.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABHIN-2024-8862.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/LAXMI-2024-7746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MANOJ-2024-20240430024726.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MAHES-2024-7387.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SHIVA-2024-8786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAVIN-2024-8799.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PRAKA-2024-7399.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NARAY-2024-20240430010128.jpg', 'img/nota.jpg']",lost,3481,( -859198),SHIVAM SEN,Independent
255,Madhya Pradesh,KHANDWA(28),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GYANE-2024-20240430025118.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NAREN-2024-6833.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUNNA-2024-7760.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABHIN-2024-8862.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/LAXMI-2024-7746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MANOJ-2024-20240430024726.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MAHES-2024-7387.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SHIVA-2024-8786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAVIN-2024-8799.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PRAKA-2024-7399.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NARAY-2024-20240430010128.jpg', 'img/nota.jpg']",lost,2685,( -859994),RAVINDRA SONVANE,Independent
256,Madhya Pradesh,KHANDWA(28),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GYANE-2024-20240430025118.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NAREN-2024-6833.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUNNA-2024-7760.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABHIN-2024-8862.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/LAXMI-2024-7746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MANOJ-2024-20240430024726.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MAHES-2024-7387.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SHIVA-2024-8786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAVIN-2024-8799.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PRAKA-2024-7399.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NARAY-2024-20240430010128.jpg', 'img/nota.jpg']",lost,2370,( -860309),PRAKASH RATHOR BANJARA,Aam Janta Party (India)
257,Madhya Pradesh,KHANDWA(28),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GYANE-2024-20240430025118.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NAREN-2024-6833.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUNNA-2024-7760.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABHIN-2024-8862.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/LAXMI-2024-7746.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MANOJ-2024-20240430024726.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MAHES-2024-7387.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SHIVA-2024-8786.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAVIN-2024-8799.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PRAKA-2024-7399.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NARAY-2024-20240430010128.jpg', 'img/nota.jpg']",lost,1702,( -860977),NARAYAN SUKHADEV PAL,Bharatiya Yuva Jan Ekta Party
