ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
161,Ladakh,Ladakh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U09/MOHMA-2024-10634.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U09/TSERI-2024-10231.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U09/TASHI-2024-20240501060658.jpg', 'img/nota.jpg']",won,65259,(+ 27862),MOHMAD HANEEFA,Independent
162,Ladakh,Ladakh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U09/MOHMA-2024-10634.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U09/TSERI-2024-10231.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U09/TASHI-2024-20240501060658.jpg', 'img/nota.jpg']",lost,37397,( -27862),TSERING NAMGYAL,Indian National Congress
163,Ladakh,Ladakh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U09/MOHMA-2024-10634.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U09/TSERI-2024-10231.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U09/TASHI-2024-20240501060658.jpg', 'img/nota.jpg']",lost,31956,( -33303),TASHI GYALSON,Bharatiya Janata Party
164,Ladakh,Ladakh(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U09/MOHMA-2024-10634.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U09/TSERI-2024-10231.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U09/TASHI-2024-20240501060658.jpg', 'img/nota.jpg']",,912,( -64347),NOTA,None of the Above
