ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
109,Mizoram,MIZORAM(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RICHA-2024-154.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/KVANL-2024-1338.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALBI-2024-1426.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/VANLA-2024-1446.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALHR-2024-20240330032817.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RITAM-2024-707.jpg', 'img/nota.jpg']",won,208552,(+ 68288),RICHARD VANLALHMANGAIHA,Zoram People’s Movement
110,Mizoram,MIZORAM(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RICHA-2024-154.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/KVANL-2024-1338.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALBI-2024-1426.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/VANLA-2024-1446.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALHR-2024-20240330032817.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RITAM-2024-707.jpg', 'img/nota.jpg']",lost,140264,( -68288),K VANLALVENA,Mizo National Front
111,Mizoram,MIZORAM(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RICHA-2024-154.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/KVANL-2024-1338.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALBI-2024-1426.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/VANLA-2024-1446.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALHR-2024-20240330032817.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RITAM-2024-707.jpg', 'img/nota.jpg']",lost,98595,( -109957),LALBIAKZAMA,Indian National Congress
112,Mizoram,MIZORAM(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RICHA-2024-154.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/KVANL-2024-1338.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALBI-2024-1426.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/VANLA-2024-1446.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALHR-2024-20240330032817.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RITAM-2024-707.jpg', 'img/nota.jpg']",lost,33533,( -175019),VANLALHMUAKA,Bharatiya Janata Party
113,Mizoram,MIZORAM(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RICHA-2024-154.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/KVANL-2024-1338.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALBI-2024-1426.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/VANLA-2024-1446.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALHR-2024-20240330032817.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RITAM-2024-707.jpg', 'img/nota.jpg']",lost,4706,( -203846),LALHRIATRENGA CHHANGTE,Independent
114,Mizoram,MIZORAM(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RICHA-2024-154.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/KVANL-2024-1338.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALBI-2024-1426.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/VANLA-2024-1446.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALHR-2024-20240330032817.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RITAM-2024-707.jpg', 'img/nota.jpg']",lost,3793,( -204759),RITA MALSAWMI,Mizoram People's Conference
115,Mizoram,MIZORAM(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RICHA-2024-154.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/KVANL-2024-1338.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALBI-2024-1426.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/VANLA-2024-1446.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/LALHR-2024-20240330032817.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S16/RITAM-2024-707.jpg', 'img/nota.jpg']",,1893,( -206659),NOTA,None of the Above
