S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Purnia(12),RAJESH RANJAN ALIAS PAPPU YADAV,567556,23847
2,Sangli(44),VISHAL (DADA) PRAKASHBAPU PATIL,571666,100053
3,Khadoor Sahib(3),AMRITPAL SINGH,404430,197120
4,Faridkot(9),SARABJEET SINGH KHALSA,298062,70053
5,Daman and Diu (1),PATEL UMESHBHAI BABUBHAI,42523,6225
6,BARAMULLA(1),ABDUL RASHID SHEIKH,472481,204142
7,Ladakh(1),MOHMAD HANEEFA,65259,27862
