,state,constituency,won status,votes,(votes),Name,Party Name
4220,Tamil Nadu,CHIDAMBARAM(27),won,505084,(+ 103554),THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi
4235,Tamil Nadu,KANNIYAKUMARI(39),won,546248,(+ 179907),VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress
4258,Tamil Nadu,TENKASI(37),won,425679,(+ 196199),DR RANI SRI KUMAR,Dravida Munnetra Kazhagam
4274,Telangana,Khammam (17),won,766929,(+ 467847),RAMASAHAYAM RAGHURAM REDDY,Indian National Congress
4310,Telangana,Mahbubnagar(11),won,510747,(+ 4500),ARUNA. D. K,Bharatiya Janata Party
4342,Uttar Pradesh,Nagina(5),won,512552,(+ 151473),CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram)
4349,Uttar Pradesh,Baghpat(11),won,488967,(+ 159459),DR RAJKUMAR SANGWAN,Rashtriya Lok Dal
4357,Uttar Pradesh,Barabanki(53),won,719927,(+ 215704),TANUJ PUNIA,Indian National Congress
4371,Uttar Pradesh,Bhadohi(78),won,459982,(+ 44072),DR. VINOD KUMAR BIND,Bharatiya Janata Party
4382,Uttar Pradesh,Robertsganj(80),won,465848,(+ 129234),CHHOTELAL,Samajwadi Party
4395,Uttar Pradesh,Chandauli(76),won,474476,(+ 21565),BIRENDRA SINGH,Samajwadi Party
4406,Uttar Pradesh,Ghazipur(75),won,539912,(+ 124861),AFZAL ANSARI,Samajwadi Party
4417,Uttar Pradesh,Machhlishahr(74),won,451292,(+ 35850),PRIYA SAROJ,Samajwadi Party
4430,Uttar Pradesh,Jaunpur(73),won,509130,(+ 99335),BABU SINGH KUSHWAHA,Samajwadi Party
4445,Uttar Pradesh,Ballia(72),won,467068,(+ 43384),SANATAN PANDEY,Samajwadi Party
4459,Uttar Pradesh,Salempur(71),won,405472,(+ 3573),RAMASHANKAR RAJBHAR,Samajwadi Party
4469,Uttar Pradesh,Ghosi(70),won,503131,(+ 162943),RAJEEV RAI,Samajwadi Party
4498,Uttar Pradesh,Azamgarh(69),won,508239,(+ 161035),DHARMENDRA YADAV,Samajwadi Party
4508,Uttar Pradesh,Lalganj(68),won,439959,(+ 115023),DAROGA PRASAD SAROJ,Samajwadi Party
4516,Uttar Pradesh,Sant Kabir Nagar(62),won,498695,(+ 92170),LAXMIKANT PAPPU NISHAD,Samajwadi Party
4528,Uttar Pradesh,Basti(61),won,527005,(+ 100994),RAM PRASAD CHAUDHARY,Samajwadi Party
4538,Uttar Pradesh,Shrawasti(58),won,511055,(+ 76673),RAM SHIROMANI VERMA,Samajwadi Party
4551,Uttar Pradesh,Ambedkar Nagar(55),won,544959,(+ 137247),LALJI VERMA,Samajwadi Party
4560,Uttar Pradesh,Faizabad(54),won,554289,(+ 54567),AWADHESH PRASAD,Samajwadi Party
4574,Uttar Pradesh,Kaushambi(50),won,509787,(+ 103944),PUSHPENDRA SAROJ,Samajwadi Party
4585,Uttar Pradesh,Fatehpur(49),won,500328,(+ 33199),NARESH CHANDRA UTTAM PATEL,Samajwadi Party
4601,Uttar Pradesh,Banda(48),won,406567,(+ 71210),KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party
4614,Uttar Pradesh,Hamirpur(47),won,490683,(+ 2629),AJENDRA SINGH LODHI,Samajwadi Party
4626,Uttar Pradesh,Jalaun(45),won,530180,(+ 53898),NARAYAN DAS AHIRWAR,Samajwadi Party
4633,Uttar Pradesh,Kannauj(42),won,642292,(+ 170922),AKHILESH YADAV,Samajwadi Party
4649,Uttar Pradesh,Etawah(41),won,490747,(+ 58419),JITENDRA KUMAR DOHARE,Samajwadi Party
4657,Uttar Pradesh,Pratapgarh(39),won,441932,(+ 66206),SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party
4684,Uttar Pradesh,Sultanpur(38),won,444330,(+ 43174),RAMBHUAL NISHAD,Samajwadi Party
4694,Uttar Pradesh,Mohanlalganj(34),won,667869,(+ 70292),R.K. CHAUDHARY,Samajwadi Party
4706,Uttar Pradesh,Dhaurahra(29),won,443743,(+ 4449),ANAND BHADAURIYA,Samajwadi Party
4719,Uttar Pradesh,Kheri(28),won,557365,(+ 34329),UTKARSH VERMA  'MADHUR',Samajwadi Party
4731,Uttar Pradesh,Aonla(24),won,492515,(+ 15969),NEERAJ MAURYA,Samajwadi Party
4741,Uttar Pradesh,Badaun(23),won,501855,(+ 34991),ADITYA YADAV,Samajwadi Party
4753,Uttar Pradesh,Etah(22),won,475808,(+ 28052),DEVESH SHAKYA,Samajwadi Party
4764,Uttar Pradesh,Mainpuri(21),won,598526,(+ 221639),DIMPLE YADAV,Samajwadi Party
4773,Uttar Pradesh,Firozabad(20),won,543037,(+ 89312),AKSHAYA YADAV,Samajwadi Party
4781,Uttar Pradesh,Sambhal(8),won,571161,(+ 121494),ZIA UR REHMAN,Samajwadi Party
4794,Uttar Pradesh,Rampur(7),won,481503,(+ 87434),MOHIBBULLAH,Samajwadi Party
4801,Uttar Pradesh,Moradabad(6),won,637363,(+ 105762),RUCHI VIRA,Samajwadi Party
4814,Uttar Pradesh,Muzaffarnagar(3),won,470721,(+ 24672),HARENDRA SINGH MALIK,Samajwadi Party
4826,Uttar Pradesh,Kairana(2),won,528013,(+ 69116),IQRA CHOUDHARY,Samajwadi Party
4841,Uttar Pradesh,Varanasi(77),won,612970,(+ 152513),NARENDRA MODI,Bharatiya Janata Party
4849,Uttar Pradesh,Bansgaon(67),won,428693,(+ 3150),KAMLESH PASWAN,Bharatiya Janata Party
4858,Uttar Pradesh,Deoria(66),won,504541,(+ 34842),SHASHANK MANI,Bharatiya Janata Party
4866,Uttar Pradesh,Kushi Nagar(65),won,516345,(+ 81790),VIJAY KUMAR DUBAY,Bharatiya Janata Party
4876,Uttar Pradesh,Gorakhpur(64),won,585834,(+ 103526),RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party
4890,Uttar Pradesh,Maharajganj(63),won,591310,(+ 35451),PANKAJ CHAUDHARY,Bharatiya Janata Party
4899,Uttar Pradesh,Domariyaganj(60),won,463303,(+ 42728),JAGDAMBIKA PAL,Bharatiya Janata Party
4906,Uttar Pradesh,Gonda(59),won,474258,(+ 46224),KIRTIVARDHAN SINGH,Bharatiya Janata Party
4915,Uttar Pradesh,Kaiserganj(57),won,571263,(+ 148843),KARAN BHUSHAN SINGH,Bharatiya Janata Party
4920,Uttar Pradesh,Baharaich(56),won,518802,(+ 64227),ANAND KUMAR,Bharatiya Janata Party
4931,Uttar Pradesh,Phulpur(51),won,452600,(+ 4332),PRAVEEN PATEL,Bharatiya Janata Party
4947,Uttar Pradesh,Jhansi(46),won,690316,(+ 102614),ANURAG SHARMA,Bharatiya Janata Party
4958,Uttar Pradesh,Akbarpur(44),won,517423,(+ 44345),DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party
4968,Uttar Pradesh,Kanpur(43),won,443055,(+ 20968),RAMESH AWASTHI,Bharatiya Janata Party
4980,Uttar Pradesh,Farrukhabad(40),won,487963,(+ 2678),MUKESH RAJPUT,Bharatiya Janata Party
4989,Uttar Pradesh,Lucknow(35),won,612709,(+ 135159),RAJ NATH SINGH,Bharatiya Janata Party
5000,Uttar Pradesh,Unnao(33),won,616133,(+ 35818),SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party
5009,Uttar Pradesh,Misrikh(32),won,475016,(+ 33406),ASHOK KUMAR RAWAT,Bharatiya Janata Party
5019,Uttar Pradesh,Hardoi(31),won,486798,(+ 27856),JAI PRAKASH,Bharatiya Janata Party
5032,Uttar Pradesh,Shahjahanpur(27),won,592718,(+ 55379),ARUN KUMAR SAGAR,Bharatiya Janata Party
5043,Uttar Pradesh,Pilibhit(26),won,607158,(+ 164935),JITIN PRASADA,Bharatiya Janata Party
5054,Uttar Pradesh,Bareilly(25),won,567127,(+ 34804),CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party
5068,Uttar Pradesh,Fatehpur Sikri(19),won,445657,(+ 43405),RAJKUMAR CHAHAR,Bharatiya Janata Party
5078,Uttar Pradesh,Agra(18),won,599397,(+ 271294),PROF S P SINGH BAGHEL,Bharatiya Janata Party
5090,Uttar Pradesh,Mathura(17),won,510064,(+ 293407),HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party
5106,Uttar Pradesh,Hathras(16),won,554746,(+ 247318),ANOOP PRADHAN BALMIKI,Bharatiya Janata Party
5117,Uttar Pradesh,Aligarh(15),won,501834,(+ 15647),SATISH KUMAR GAUTAM,Bharatiya Janata Party
5132,Uttar Pradesh,Bulandshahr(14),won,597310,(+ 275134),DR BHOLA SINGH,Bharatiya Janata Party
5139,Uttar Pradesh,Gautam Buddha Nagar(13),won,857829,(+ 559472),DR. MAHESH SHARMA,Bharatiya Janata Party
5155,Uttar Pradesh,Ghaziabad(12),won,854170,(+ 336965),ATUL GARG,Bharatiya Janata Party
5170,Uttar Pradesh,Meerut(10),won,546469,(+ 10585),ARUN GOVIL,Bharatiya Janata Party
5179,Uttar Pradesh,Amroha(9),won,476506,(+ 28670),KANWAR SINGH TANWAR,Bharatiya Janata Party
5192,Uttar Pradesh,Allahabad(52),won,462145,(+ 58795),UJJWAL RAMAN SINGH,Indian National Congress
5207,Uttar Pradesh,Amethi(37),won,539228,(+ 167196),KISHORI LAL,Indian National Congress
5221,Uttar Pradesh,Rae Bareli(36),won,687649,(+ 390030),RAHUL GANDHI,Indian National Congress
5230,Uttar Pradesh,Sitapur(30),won,531138,(+ 89641),RAKESH RATHOR,Indian National Congress
5239,Uttar Pradesh,Saharanpur(1),won,547967,(+ 64542),IMRAN MASOOD,Indian National Congress
5250,Uttar Pradesh,Bijnor(4),won,404493,(+ 37508),CHANDAN CHAUHAN,Rashtriya Lok Dal
5262,Telangana,Chevella(10),won,809882,(+ 172897),KONDA VISHWESHWAR REDDY,Bharatiya Janata Party
5306,Telangana,Secunderabad(8),won,473012,(+ 49944),G. KISHAN REDDY,Bharatiya Janata Party
5352,Telangana,Malkajgiri(7),won,991042,(+ 391475),EATALA RAJENDER,Bharatiya Janata Party
5375,Telangana,Medak(6),won,471217,(+ 39139),MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party
5420,Telangana,Nizamabad(4),won,592318,(+ 109241),ARVIND DHARMAPURI,Bharatiya Janata Party
5450,Telangana,Karimnagar (3),won,585116,(+ 225209),BANDI SANJAY KUMAR,Bharatiya Janata Party
5479,Telangana,Adilabad (1),won,568168,(+ 90652),GODAM NAGESH,Bharatiya Janata Party
5492,Telangana,Mahabubabad  (16),won,612774,(+ 349165),BALRAM NAIK PORIKA,Indian National Congress
5516,Telangana,Warangal(15),won,581294,(+ 220339),KADIYAM KAVYA,Indian National Congress
5559,Telangana,Bhongir (14),won,629143,(+ 222170),CHAMALA KIRAN KUMAR REDDY,Indian National Congress
5599,Telangana,Nalgonda(13),won,784337,(+ 559905),KUNDURU RAGHUVEER,Indian National Congress
5622,Telangana,Nagarkurnool(12),won,465072,(+ 94414),DR.MALLU RAVI,Indian National Congress
5642,Telangana,Zahirabad(5),won,528418,(+ 46188),SURESH KUMAR SHETKAR,Indian National Congress
5662,Telangana,Peddapalle (2),won,475587,(+ 131364),VAMSI KRISHNA GADDAM,Indian National Congress
5705,Tamil Nadu,THOOTHUKKUDI(36),won,540729,(+ 392738),KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam
5734,Tamil Nadu,THENI(33),won,571493,(+ 278825),THANGA TAMILSELVAN,Dravida Munnetra Kazhagam
5760,Tamil Nadu,THANJAVUR(30),won,502245,(+ 319583),MURASOLI S,Dravida Munnetra Kazhagam
5773,Tamil Nadu,PERAMBALUR(25),won,603209,(+ 389107),ARUN NEHRU,Dravida Munnetra Kazhagam
5797,Tamil Nadu,POLLACHI(21),won,533377,(+ 252042),ESWARASAMY K,Dravida Munnetra Kazhagam
5813,Tamil Nadu,COIMBATORE(20),won,568200,(+ 118068),GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam
5851,Tamil Nadu,NILGIRIS(19),won,473212,(+ 240585),RAJA A,Dravida Munnetra Kazhagam
5868,Tamil Nadu,ERODE(17),won,562339,(+ 236566),K E PRAKASH,Dravida Munnetra Kazhagam
5900,Tamil Nadu,NAMAKKAL(16),won,462036,(+ 29112),MATHESWARAN V S,Dravida Munnetra Kazhagam
5941,Tamil Nadu,SALEM(15),won,566085,(+ 70357),SELVAGANAPATHI T M,Dravida Munnetra Kazhagam
5967,Tamil Nadu,KALLAKURICHI(14),won,561589,(+ 53784),MALAIYARASAN D,Dravida Munnetra Kazhagam
5989,Tamil Nadu,ARANI(12),won,500099,(+ 208766),THARANIVENTHAN M S,Dravida Munnetra Kazhagam
6019,Tamil Nadu,TIRUVANNAMALAI(11),won,547379,(+ 233931),"ANNADURAI, C.N.",Dravida Munnetra Kazhagam
6051,Tamil Nadu,DHARMAPURI(10),won,432667,(+ 21300),MANI. A.,Dravida Munnetra Kazhagam
6076,Tamil Nadu,VELLORE(8),won,568692,(+ 215702),DM KATHIR ANAND,Dravida Munnetra Kazhagam
6108,Tamil Nadu,ARAKKONAM(7),won,563216,(+ 306559),S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam
6135,Tamil Nadu,KANCHEEPURAM(6),won,586044,(+ 221473),SELVAM. G,Dravida Munnetra Kazhagam
6147,Tamil Nadu,SRIPERUMBUDUR(5),won,758611,(+ 487029),T R BAALU,Dravida Munnetra Kazhagam
6179,Tamil Nadu,CHENNAI CENTRAL(4),won,413848,(+ 244689),DAYANIDHI MARAN,Dravida Munnetra Kazhagam
6211,Tamil Nadu,CHENNAI SOUTH(3),won,516628,(+ 225945),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam
6253,Tamil Nadu,CHENNAI NORTH(2),won,497333,(+ 339222),DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam
6289,Tamil Nadu,TIRUNELVELI(38),won,502296,(+ 165620),ROBERT BRUCE C,Indian National Congress
6313,Tamil Nadu,VIRUDHUNAGAR(34),won,385256,(+ 4379),MANICKAM TAGORE B,Indian National Congress
6341,Tamil Nadu,SIVAGANGA(31),won,427677,(+ 205664),KARTI P CHIDAMBARAM,Indian National Congress
6362,Tamil Nadu,MAYILADUTHURAI(28),won,518459,(+ 271183),SUDHA R,Indian National Congress
6380,Tamil Nadu,CUDDALORE(26),won,455053,(+ 185896),M.K. VISHNUPRASAD,Indian National Congress
6400,Tamil Nadu,KARUR(23),won,534906,(+ 166816),JOTHIMANI. S,Indian National Congress
6455,Tamil Nadu,KRISHNAGIRI(9),won,492883,(+ 192486),GOPINATH K,Indian National Congress
6483,Tamil Nadu,TIRUVALLUR(1),won,796956,(+ 572155),Sasikanth Senthil,Indian National Congress
6498,Tamil Nadu,VILUPPURAM(13),won,477033,(+ 70703),RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi
6516,Tamil Nadu,TIRUPPUR(18),won,472739,(+ 125928),"SUBBARAYAN, K.",Communist Party of India
6530,Tamil Nadu,DINDIGUL(22),won,670149,(+ 443821),SACHITHANANTHAM R,Communist Party of India  (Marxist)
6546,Rajasthan,KOTA(24),won,750496,(+ 41974),OM BIRLA,Bharatiya Janata Party
6562,Rajasthan,BHILWARA(23),won,807640,(+ 354606),DAMODAR AGARWAL,Bharatiya Janata Party
6573,Rajasthan,RAJSAMAND(22),won,781203,(+ 392223),MAHIMA KUMARI MEWAR,Bharatiya Janata Party
6584,Rajasthan,CHITTORGARH(21),won,888202,(+ 389877),CHANDRA PRAKASH JOSHI,Bharatiya Janata Party
6603,Rajasthan,UDAIPUR (19),won,738286,(+ 261608),MANNA LAL RAWAT,Bharatiya Janata Party
6612,Rajasthan,JALORE (18),won,796783,(+ 201543),LUMBARAM,Bharatiya Janata Party
6625,Rajasthan,PALI(15),won,757389,(+ 245351),P. P. CHAUDHARY,Bharatiya Janata Party
6639,Rajasthan,JODHPUR(16),won,730056,(+ 115677),GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party
6655,Rajasthan,AJMER (13),won,747462,(+ 329991),BHAGIRATH CHOUDHARY,Bharatiya Janata Party
6670,Rajasthan,ALWAR(8),won,631992,(+ 48282),BHUPENDER YADAV,Bharatiya Janata Party
6680,Rajasthan,JAIPUR(7),won,886850,(+ 331767),MANJU SHARMA,Bharatiya Janata Party
6694,Rajasthan,JAIPUR RURAL(6),won,617877,(+ 1615),RAO RAJENDRA SINGH,Bharatiya Janata Party
6710,Rajasthan,BIKANER (2),won,566737,(+ 55711),ARJUN RAM MEGHWAL,Bharatiya Janata Party
6720,Rajasthan,TONK-SAWAI MADHOPUR (12),won,623763,(+ 64949),HARISH CHANDRA MEENA,Indian National Congress
6732,Rajasthan,DAUSA (11),won,646266,(+ 237340),MURARI LAL MEENA,Indian National Congress
6738,Rajasthan,KARAULI-DHOLPUR (10),won,530011,(+ 98945),BHAJAN LAL JATAV,Indian National Congress
6743,Rajasthan,BHARATPUR (9),won,579890,(+ 51983),SANJNA JATAV,Indian National Congress
6750,Rajasthan,JHUNJHUNU     (4),won,553168,(+ 18235),BRIJENDRA SINGH OLA,Indian National Congress
6759,Rajasthan,CHURU(3),won,728211,(+ 72737),RAHUL KASWAN,Indian National Congress
6773,Rajasthan,GANGANAGAR (1),won,726492,(+ 88153),KULDEEP INDORA,Indian National Congress
6783,Punjab,Ludhiana(7),won,322224,(+ 20942),AMRINDER SINGH RAJA WARRING,Indian National Congress
6827,Punjab,Jalandhar(4),won,390053,(+ 175993),CHARANJIT SINGH CHANNI,Indian National Congress
6848,Punjab,Amritsar(2),won,255181,(+ 40301),GURJEET SINGH AUJLA,Indian National Congress
6879,Punjab,Gurdaspur(1),won,364043,(+ 82861),SUKHJINDER SINGH RANDHAWA,Indian National Congress
6906,Punjab,Anandpur Sahib(6),won,313217,(+ 10846),MALVINDER SINGH KANG,Aam Aadmi Party
6935,Punjab,Hoshiarpur(5),won,303859,(+ 44111),DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party
6952,Odisha,Aska(19),won,494226,(+ 99974),ANITA SUBHADARSHINI,Bharatiya Janata Party
6960,Odisha,Bhubaneswar(18),won,512519,(+ 35152),APARAJITA SARANGI,Bharatiya Janata Party
6973,Odisha,Puri(17),won,629330,(+ 104709),SAMBIT PATRA,Bharatiya Janata Party
6981,Odisha,Jagatsinghpur(16),won,589093,(+ 40696),BIBHU PRASAD TARAI,Bharatiya Janata Party
6993,Odisha,Kendrapara(15),won,615705,(+ 66536),BAIJAYANT PANDA,Bharatiya Janata Party
7004,Odisha,Cuttack(14),won,531601,(+ 57077),BHARTRUHARI MAHTAB,Bharatiya Janata Party
7015,Odisha,Kandhamal(13),won,416415,(+ 21371),SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party
7024,Odisha,Nabarangpur(12),won,481396,(+ 87536),BALABHADRA MAJHI,Bharatiya Janata Party
7029,Odisha,Kalahandi(11),won,544303,(+ 133813),MALVIKA DEVI,Bharatiya Janata Party
7041,Odisha,Bolangir(10),won,617744,(+ 132664),SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party
7052,Odisha,Dhenkanal(9),won,598721,(+ 76567),RUDRA NARAYAN PANY,Bharatiya Janata Party
7063,Odisha,Jajpur(8),won,534239,(+ 1587),RABINDRA NARAYAN BEHERA,Bharatiya Janata Party
7077,Odisha,Bhadrak(7),won,573319,(+ 91544),AVIMANYU SETHI,Bharatiya Janata Party
7086,Odisha,Balasore(6),won,563865,(+ 147156),PRATAP CHANDRA SARANGI,Bharatiya Janata Party
7098,Odisha,Mayurbhanj(5),won,585971,(+ 219334),NABA CHARAN MAJHI,Bharatiya Janata Party
7112,Odisha,Keonjhar(4),won,573923,(+ 97042),ANANTA NAYAK,Bharatiya Janata Party
7124,Odisha,Sambalpur(3),won,592162,(+ 119836),DHARMENDRA PRADHAN,Bharatiya Janata Party
7139,Odisha,Sundargarh(2),won,494282,(+ 138808),JUAL ORAM,Bharatiya Janata Party
7148,Odisha,Bargarh(1),won,716359,(+ 251667),PRADEEP PUROHIT,Bharatiya Janata Party
7156,Maharashtra,Solapur(42),won,620225,(+ 74197),PRANITI SUSHILKUMAR SHINDE,Indian National Congress
7178,Maharashtra,Latur (41),won,609021,(+ 61881),DR. KALGE SHIVAJI BANDAPPA,Indian National Congress
7207,Maharashtra,Mumbai North Central(29),won,445545,(+ 16514),GAIKWAD VARSHA EKNATH,Indian National Congress
7235,Maharashtra,Jalna(18),won,607897,(+ 109958),KALYAN VAIJINATHRAO KALE,Indian National Congress
7262,Maharashtra,Nanded(16),won,528894,(+ 59442),CHAVAN VASANTRAO BALWANTRAO,Indian National Congress
7286,Maharashtra,Chandrapur(13),won,718410,(+ 260406),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress
7302,Maharashtra,Gadchiroli - Chimur(12),won,617792,(+ 141696),DR. KIRSAN  NAMDEO,Indian National Congress
7313,Maharashtra,Bhandara Gondiya(11),won,587413,(+ 37380),DR. PRASHANT YADAORAO PADOLE,Indian National Congress
7332,Maharashtra,Ramtek (9),won,613025,(+ 76768),Shyamkumar (Babalu) Daulat Barve,Indian National Congress
7361,Maharashtra,Amravati (7),won,526271,(+ 19731),BALWANT BASWANT WANKHADE,Indian National Congress
7399,Maharashtra,Dhule(2),won,583866,(+ 3831),BACHHAV SHOBHA DINESH,Indian National Congress
7418,Maharashtra,Nandurbar(1),won,745998,(+ 159120),ADV GOWAAL KAGADA PADAVI,Indian National Congress
7430,Goa,South Goa(2),won,217836,(+ 13535),CAPTAIN  VIRIATO FERNANDES,Indian National Congress
7439,Goa,North Goa(1),won,257326,(+ 116015),SHRIPAD YESSO NAIK,Bharatiya Janata Party
7448,Chhattisgarh,KORBA(4),won,570182,(+ 43283),JYOTSNA CHARANDAS MAHANT,Indian National Congress
7476,Chhattisgarh,KANKER(11),won,597624,(+ 1884),BHOJRAJ NAG,Bharatiya Janata Party
7486,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),won,42523,(+ 6225),PATEL UMESHBHAI BABUBHAI,Independent
7494,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli(2),won,121074,(+ 57584),DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party
7500,Chandigarh,Chandigarh(1),won,216657,(+ 2504),MANISH TEWARI,Indian National Congress
7520,Bihar,Purnia(12),won,567556,(+ 23847),RAJESH RANJAN ALIAS PAPPU YADAV,Independent
7528,Bihar,Gaya(38),won,494960,(+ 101812),JITAN RAM MANJHI,Hindustani Awam Morcha (Secular)
7543,Bihar,Karakat(35),won,380581,(+ 105858),RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation)
7557,Bihar,Sasaram(34),won,513004,(+ 19157),MANOJ KUMAR,Indian National Congress
7568,Bihar,Aurangabad(37),won,465567,(+ 79111),ABHAY KUMAR SINHA,Rashtriya Janata Dal
7578,Bihar,Jamui(40),won,509046,(+ 112482),ARUN BHARTI,Lok Janshakti Party(Ram Vilas)
7586,Bihar,Nawada(39),won,410608,(+ 67670),VIVEK THAKUR,Bharatiya Janata Party
7595,Assam,Barpeta(3),won,860113,(+ 222351),PHANI BHUSAN CHOUDHURY,Asom Gana Parishad
7610,Arunachal Pradesh,Arunachal East(2),won,145581,(+ 30421),TAPIR GAO,Bharatiya Janata Party
7617,Andhra Pradesh,Machilipatnam(11),won,724439,(+ 223179),BALASHOWRY VALLABHANENI,Janasena Party
7633,Andhra Pradesh,Kakinada(6),won,729699,(+ 229491),TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party
7649,Arunachal Pradesh,Arunachal West(1),won,205417,(+ 100738),KIREN RIJIJU,Bharatiya Janata Party
7658,Bihar,Patna Sahib(30),won,588270,(+ 153846),RAVI SHANKAR PRASAD,Bharatiya Janata Party
7676,Bihar,Begusarai(24),won,649331,(+ 81480),GIRIRAJ SINGH,Bharatiya Janata Party
7687,Bihar,Ujiarpur(22),won,515965,(+ 60102),NITYANAND RAI,Bharatiya Janata Party
7701,Bihar,Saran(20),won,471752,(+ 13661),RAJIV PRATAP RUDY,Bharatiya Janata Party
7716,Bihar,Maharajganj(19),won,529533,(+ 102651),"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party
7722,Bihar,Muzaffarpur(15),won,619749,(+ 234927),RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party
7749,Bihar,Darbhanga(14),won,566630,(+ 178156),GOPAL JEE THAKUR,Bharatiya Janata Party
7758,Bihar,Araria(9),won,600146,(+ 20094),PRADEEP KUMAR SINGH,Bharatiya Janata Party
7768,Bihar,Madhubani(6),won,553428,(+ 151945),ASHOK KUMAR YADAV,Bharatiya Janata Party
7781,Bihar,Purvi Champaran(3),won,542193,(+ 88287),RADHA MOHAN SINGH,Bharatiya Janata Party
7794,Bihar,Paschim Champaran(2),won,580421,(+ 136568),DR.SANJAY JAISWAL,Bharatiya Janata Party
7803,Bihar,Khagaria(25),won,538657,(+ 161131),RAJESH VERMA,Lok Janshakti Party(Ram Vilas)
7816,Bihar,Samastipur(23),won,579786,(+ 187251),SHAMBHAVI,Lok Janshakti Party(Ram Vilas)
7829,Bihar,Hajipur(21),won,615718,(+ 170105),CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas)
7844,Bihar,Vaishali(16),won,567043,(+ 89634),VEENA DEVI,Lok Janshakti Party(Ram Vilas)
7860,Bihar,Jahanabad(36),won,443035,(+ 142591),SURENDRA PRASAD YADAV,Rashtriya Janata Dal
7876,Bihar,Buxar(33),won,438345,(+ 30091),SUDHAKAR SINGH,Rashtriya Janata Dal
7891,Bihar,Patliputra(31),won,613283,(+ 85174),MISHA BHARTI,Rashtriya Janata Dal
7914,Bihar,Katihar(11),won,567092,(+ 49863),TARIQ ANWAR,Indian National Congress
7924,Bihar,Kishanganj(10),won,402850,(+ 59692),MOHAMMAD JAWED,Indian National Congress
7937,Bihar,Arrah(32),won,529382,(+ 59808),SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation)
7952,Chhattisgarh,BASTAR(10),won,458398,(+ 55245),MAHESH KASHYAP,Bharatiya Janata Party
7964,Chhattisgarh,MAHASAMUND(9),won,703659,(+ 145456),ROOP KUMARI CHOUDHARY,Bharatiya Janata Party
7982,Chhattisgarh,RAIPUR(8),won,1050351,(+ 575285),BRIJMOHAN AGRAWAL,Bharatiya Janata Party
8021,Chhattisgarh,DURG(7),won,956497,(+ 438226),VIJAY BAGHEL,Bharatiya Janata Party
8047,Chhattisgarh,RAJNANDGAON(6),won,712057,(+ 44411),SANTOSH PANDEY,Bharatiya Janata Party
8063,Chhattisgarh,BILASPUR(5),won,724937,(+ 164558),TOKHAN SAHU,Bharatiya Janata Party
8101,Chhattisgarh,JANJGIR-CHAMPA(3),won,678199,(+ 60000),KAMLESH JANGDE,Bharatiya Janata Party
8120,Chhattisgarh,RAIGARH(2),won,808275,(+ 240391),RADHESHYAM RATHIYA,Bharatiya Janata Party
8134,Chhattisgarh,SURGUJA(1),won,713200,(+ 64822),CHINTAMANI MAHARAJ,Bharatiya Janata Party
8145,Andhra Pradesh,Narsapuram(9),won,707343,(+ 276802),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party
8167,Andhra Pradesh,Rajahmundry(8),won,726515,(+ 239139),DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party
8180,Andhra Pradesh,Anakapalle(5),won,762069,(+ 296530),C.M.RAMESH,Bharatiya Janata Party
8196,Andhra Pradesh,Rajampet(24),won,644844,(+ 76071),P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party
