,state,constituency,won status,votes,(votes),Name,Party Name
1320,Maharashtra,Mumbai North East(28),won,450937,(+ 29861),SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey)
1341,Maharashtra,Nashik(21),won,616729,(+ 162001),RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey)
1373,Maharashtra,Parbhani(17),won,601343,(+ 134061),JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey)
1408,Maharashtra,Hingoli(15),won,492535,(+ 108602),AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey)
1442,Maharashtra,Yavatmal- Washim(14),won,594807,(+ 94473),SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey)
1460,Maharashtra,Beed(39),won,683950,(+ 6553),BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar
1502,Maharashtra,Ahmednagar(37),won,624797,(+ 28929),NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar
1528,Maharashtra,Shirur(36),won,698692,(+ 140951),DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar
1561,Maharashtra,Baramati(35),won,732312,(+ 158333),SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar
1600,Maharashtra,Bhiwandi(23),won,499464,(+ 66121),BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar
1628,Maharashtra,Dindori (20),won,577339,(+ 113199),BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar
1639,Maharashtra,Wardha(8),won,533106,(+ 81648),AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar
1664,Maharashtra,Maval(33),won,692832,(+ 96615),SHRIRANG APPA CHANDU BARNE,Shiv Sena
1698,Maharashtra,Mumbai North West(27),won,452644,(+ 48),RAVINDRA DATTARAM WAIKAR,Shiv Sena
1720,Maharashtra,Thane(25),won,734231,(+ 217011),NARESH GANPAT MHASKE,Shiv Sena
1745,Maharashtra,Kalyan(24),won,589636,(+ 209144),DR SHRIKANT EKNATH SHINDE,Shiv Sena
1774,Maharashtra,Aurangabad(19),won,476130,(+ 134650),BHUMARE SANDIPANRAO ASARAM,Shiv Sena
