ref,state,constituency,img_link,won_status,votes,votes_percentage,name,party_name
907,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/FAZIL-2024-20240419023340.jpg,lost,957,( -109018),FAZIL SYED,Social Democratic Party Of India
908,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/SRIRA-2024-20240423011720.jpg,lost,684,( -109291),BODEDDULA SRIRAMULU,Bahujan Samaj Party
909,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/ANILK-2024-20240429113843.jpg,lost,592,( -109383),ANIL KUMAR SURISETTY,Revolutionary Socialist Party
910,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/SHAIK-2024-20240423041416.jpg,lost,167,( -109808),SHAIK SARDAR HUSSIEN,Independent
911,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/SHAIK-2024-20240429113712.jpg,lost,155,( -109820),SHAIK MUJEEB,Independent
912,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/KATTA-2024-20240422050957.jpg,lost,100,( -109875),KATTA SIREESH,Akhil Bharatiya Jan Sangh
913,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/BOMMA-2024-20240422041247.jpg,lost,75,( -109900),BOMMALATA SURESH,Independent
914,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/JADDA-2024-20240424033859.jpg,lost,46,( -109929),JADDA NIRANJAN,Independent
915,Andhra Pradesh,Ichchapuram(1),img/nota.jpg,,2016,( -107959),NOTA,None of the Above
916,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/NARAY-2024-20240422031135.jpg,won,120551,(+ 72489),NARAYANA PONGURU,Telugu Desam
917,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/KHALE-2024-20240425122502.jpg,lost,48062,( -72489),KHALEEL AHAMAD MD,Yuvajana Sramika Rythu Congress Party
918,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/MULAM-2024-20240423034543.jpg,lost,2038,( -118513),MULAM. RAMESH,Communist Party of India  (Marxist)
919,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/CHALL-2024-20240424030353.jpg,lost,1277,( -119274),CHALLA SARATH KUMAR,Bahujan Samaj Party
920,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/AMEER-2024-20240424113814.jpg,lost,1060,( -119491),AMEER AHMED SHAIK,Social Democratic Party Of India
921,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/HANUM-2024-20240425023843.jpg,lost,143,( -120408),HANUMANTHA RAO DESAISETTY,Independent
922,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/KALAH-2024-20240423013800.jpg,lost,119,( -120432),KALAHASTI CHENCHU MAHESH,Bharatha Chaitanya Yuvajana Party
923,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/VELUR-2024-20240423035735.jpg,lost,118,( -120433),VELURU. RANGA RAO,Independent
924,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/PONNA-2024-20240422041511.jpg,lost,91,( -120460),PONNAPUDI SYAMALA,Pyramid Party of India
925,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/VENKA-2024-20240425033319.jpg,lost,82,( -120469),BANDARU VENKATA SRIDHAR,Independent
926,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/RAMIS-2024-20240425062213.jpg,lost,67,( -120484),RAGUNATH RAMISETTY,Jaibhim Rao Bharat Party
927,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/DASAR-2024-20240423030908.jpg,lost,53,( -120498),DASARI GOWTHAM,Independent
928,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/RAVIK-2024-20240425042348.jpg,lost,48,( -120503),NARU. RAVI KUMAR REDDY,Independent
929,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/PADMA-2024-20240425035453.jpg,lost,39,( -120512),GUNDALA PADMA REDDY,Independent
930,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/DHARM-2024-20240425100925.jpg,lost,23,( -120528),D. SUNEEL KUMAR,Radical Party of India (Ambedkarist)
931,Andhra Pradesh,Ichchapuram(1),img/nota.jpg,,967,( -119584),NOTA,None of the Above
932,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/PRASH-2024-20240418022531.jpg,won,130623,(+ 54583),PRASHANTHI REDDY VEMIREDDY,Telugu Desam
933,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/NALLA-2024-20240418011128.jpg,lost,76040,( -54583),NALLAPAREDDY PRASANNA KUMAR REDDY,Yuvajana Sramika Rythu Congress Party
934,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/KIRAN-2024-20240424124558.jpg,lost,3203,( -127420),KIRAN KUMAR REDDY NARAPAREDDY,Indian National Congress
935,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/SHAIK-2024-20240425024634.jpg,lost,899,( -129724),SHAIK CHOTE SAHEB,Independent
936,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/ANILK-2024-20240423011754.jpg,lost,837,( -129786),ANIL KADIMPATI,Bahujan Samaj Party
937,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/ALLAS-2024-20240424031404.jpg,lost,307,( -130316),ALLA SIVAIAH,Jaibhim Rao Bharat Party
938,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/POLAV-2024-20240425071447.jpg,lost,202,( -130421),POLAVARAPU SUNANDA,Jai Maha Bharath Party
939,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/CHAKK-2024-20240423021943.jpg,lost,184,( -130439),CHAKKIRALA ANITHAMMA,Independent
940,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/MODEM-2024-20240425050059.jpg,lost,175,( -130448),MODEM SREENIVASULU REDDY,Independent
941,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/SOMAG-2024-20240424034420.jpg,lost,121,( -130502),SOMA GOPAL,Bharatha Chaitanya Yuvajana Party
942,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/UJWAL-2024-20240425125028.jpg,lost,113,( -130510),UJWAL KUMAR KANDIKATTU,Independent
943,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/RAGHU-2024-20240425040352.jpg,lost,97,( -130526),RAGHURAM PANDHI,Loktantrik Janta Dal
944,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/RAMIS-2024-20240424043352.jpg,lost,76,( -130547),RAMISETTY SAI,Radical Party of India (Ambedkarist)
945,Andhra Pradesh,Ichchapuram(1),img/nota.jpg,,2377,( -128246),NOTA,None of the Above
946,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/ANAMR-2024-20240422023842.jpg,won,91165,(+ 7576),ANAM.RAMANARAYANA REDDY,Telugu Desam
947,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/VIKRA-2024-20240422033916.jpg,lost,83589,( -7576),MEKAPATI VIKRAM REDDY,Yuvajana Sramika Rythu Congress Party
