ref,state,constituency,img_link,won_status,votes,votes_percentage,name,party_name
1,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SARAD-2024-20240510043709.jpg,won,88632,(+ 7423),SARADA PRASAD PADHAN,Independent
2,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/ANKIT-2024-20240514044942.jpg,lost,81209,( -7423),ANKIT PRATAP JENA,Biju Janata Dal
3,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SUMAN-2024-20240510042642.jpg,lost,19481,( -69151),SUMANTA KUMAR GHADEI,Bharatiya Janata Party
4,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/DEBEN-2024-20240510040432.jpg,lost,14796,( -73836),DEBENDRA KUMAR SAHOO,Indian National Congress
5,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SARAD-2024-20240513035829.jpg,lost,543,( -88089),SARADA PRASAD DAS,Aam Aadmi Party
6,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/JAYAN-2024-20240514051938.jpg,lost,467,( -88165),JAYANTA KUMAR DAS,Independent
7,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/GOLAM-2024-20240515045535.jpg,lost,442,( -88190),GOLAM JILANI KHAN,Bahujan Samaj Party
8,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SRIRA-2024-20240513041259.jpg,lost,225,( -88407),SRIRAM PANDEY,Independent
9,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SARAL-2024-20240514050753.jpg,lost,132,( -88500),SARALAPUTRA SHREERAM BINOD SARANGI,Samajwadi Party
10,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/DRDU-2024-20240514055132.jpg,lost,107,( -88525),DR. DURGA CHARAN NAYAK,Indian Citizens' Party
11,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/CHITT-2024-20240514054423.jpg,lost,96,( -88536),CHITTARANJAN  SAHOO,Odisha Janata Party
12,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/CHITT-2024-20240513034751.jpg,lost,88,( -88544),CHITTARANJAN ROUT,Utkal Samaj
13,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PRADI-2024-20240514055639.jpg,lost,59,( -88573),PRADIPTA MOHANTY,SamruddhaOdisha
14,Odisha,Dharmasala(51),img/nota.jpg,,525,( -88107),NOTA,None of the Above
15,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/BIJAY-2024-20240506100807.jpg,won,86018,(+ 23479),BIJAYA KUMAR DALABEHERA,Independent
16,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/DEBIP-2024-20240430041929.jpg,lost,62539,( -23479),DEBIPRASAD MISHRA,Biju Janata Dal
17,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SAMBI-2024-20240503061042.jpg,lost,30755,( -55263),SAMBIT TRIPATHY,Bharatiya Janata Party
18,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/SANJA-2024-20240504051514.jpg,lost,2153,( -83865),SANJAYA KUMAR SAHOO,Indian National Congress
19,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/MANOJ-2024-20240502035406.jpg,lost,798,( -85220),MANOJ KUMAR NANDA,Independent
20,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/JUGAL-2024-20240504045750.jpg,lost,389,( -85629),JUGAL KISHOR ROUT,Independent
21,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SAROJ-2024-20240506093920.jpg,lost,380,( -85638),SAROJ KUMAR KARAN,Kalinga National Front
22,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/MANOR-2024-20240509084322.jpg,lost,376,( -85642),MANORANJAN BEHERA,National Apni Party
23,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/KAILA-2024-20240506082756.jpg,lost,355,( -85663),KAILASH CHANDRA NAYAK,SamruddhaOdisha
24,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PRASA-2024-20240506113307.jpg,lost,216,( -85802),PRASAD KUMAR NAIK,Janta Darbar Party
25,Odisha,Dharmasala(51),img/nota.jpg,,966,( -85052),NOTA,None of the Above
26,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/HIMAN-2024-20240517073725.jpg,won,79759,(+ 4150),HIMANSHU SEKHAR SAHOO F-LATE RAMESH CHANDRA SAHOO,Independent
27,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PRANA-2024-20240513045557.jpg,lost,75609,( -4150),PRANAB KUMAR BALABANTARAY,Biju Janata Dal
28,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/SMRUT-2024-20240514071937.jpg,lost,15926,( -63833),SMRUTIREKHA PAHI,Bharatiya Janata Party
29,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/KEDAR-2024-20240517073655.jpg,lost,8453,( -71306),KEDARANATH SAHU,Socialist Unity Centre Of India (COMMUNIST)
30,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/KISAN-2024-20240515032159.jpg,lost,2947,( -76812),KISAN PANDA,Indian National Congress
31,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SATIS-2024-20240510042242.jpg,lost,998,( -78761),SATISH KUMAR BISWAL,Independent
32,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/HIMAN-2024-20240514061330.jpg,lost,608,( -79151),HIMANSU SEKHAR SAHOO F-SURYAMANI SAHOO,Independent
33,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/KARTI-2024-20240517073750.jpg,lost,306,( -79453),KARTIK CHANDRA MALIK,Bahujan Samaj Party
34,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/RANJA-2024-20240513042621.jpg,lost,292,( -79467),RANJAN KUMAR MALIK,Manas Lokshakti Dal
35,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/LALUP-2024-20240510034937.jpg,lost,276,( -79483),LALUPRASAD KADAM,Independent
36,Odisha,Dharmasala(51),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PURUS-2024-20240514062315.jpg,lost,173,( -79586),PURUSOTTAM BEHERA,Independent
37,Odisha,Dharmasala(51),img/nota.jpg,,666,( -79093),NOTA,None of the Above
38,Odisha,Bonai(14),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/LAXMA-2024-20240531073850.jpg,won,81008,(+ 23439),LAXMAN MUNDA,Communist Party of India  (Marxist)
39,Odisha,Bonai(14),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/BHIMS-2024-20240531073516.jpg,lost,57569,( -23439),BHIMSEN CHOUDHURY,Biju Janata Dal
40,Odisha,Bonai(14),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/SEBAT-2024-20240531073637.jpg,lost,30067,( -50941),SEBATI NAIK,Bharatiya Janata Party
41,Odisha,Bonai(14),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/MANGA-2024-20240531074709.jpg,lost,5046,( -75962),MANGA ORAM,Independent
42,Odisha,Bonai(14),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/KUNIM-2024-20240531073242.jpg,lost,2977,( -78031),KUNI MUNDA,Aam Aadmi Party
43,Odisha,Bonai(14),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/BAJIK-2024-20240531074417.jpg,lost,2106,( -78902),BAJI KISAN,Independent
44,Odisha,Bonai(14),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/NABIN-2024-20240531074011.jpg,lost,1577,( -79431),NABIN CHANDRA KISAN,AJSU Party
45,Odisha,Bonai(14),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/MANAI-2024-20240531074541.jpg,lost,1036,( -79972),MANAI MUNDA,Independent
46,Odisha,Bonai(14),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/ASHOK-2024-20240531074125.jpg,lost,1027,( -79981),ASHOK KUMAR LOHAR,Independent
47,Odisha,Bonai(14),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/GOPIN-2024-20240531074258.jpg,lost,890,( -80118),GOPINATH KISAN,Independent
48,Odisha,Bonai(14),img/nota.jpg,,3126,( -77882),NOTA,None of the Above
49,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/RAMES-2024-20240429050745.jpg,won,65867,(+ 10662),RAMESH CHANDRA JENA,Indian National Congress
50,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/Sulak-2024-20240426051031.jpg,lost,55205,( -10662),Sulakshana Geetanjali Devi,Biju Janata Dal
51,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/UTTAM-2024-20240429052158.jpg,lost,22396,( -43471),UTTAM KUMAR PANIGRAHI,Bharatiya Janata Party
52,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/AJITN-2024-20240502042539.jpg,lost,1337,( -64530),AJIT NAIK,Bahujan Samaj Party
53,Odisha,Rajgangpur(13),img/nota.jpg,,2724,( -63143),NOTA,None of the Above
54,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SOFIA-2024-20240503014030.jpg,won,53339,(+ 8001),SOFIA FIRDOUS,Indian National Congress
55,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PURNA-2024-20240506043404.jpg,lost,45338,( -8001),PURNA CHANDRA MAHAPATRA,Bharatiya Janata Party
56,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PRAKA-2024-20240501044318.jpg,lost,40035,( -13304),PRAKASH CHANDRA BEHERA,Biju Janata Dal
57,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/AKSHA-2024-20240502031625.jpg,lost,292,( -53047),AKSHAYA KUMAR ROUL,Socialist Unity Centre Of India (COMMUNIST)
58,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/ASHOK-2024-20240506044526.jpg,lost,263,( -53076),ASHOK KUMAR SARANGI,Aam Aadmi Party
59,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PRAKA-2024-20240506070118.jpg,lost,181,( -53158),PRAKASH CHANDRA BEHERA,Independent
60,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SOBHA-2024-20240504041553.jpg,lost,178,( -53161),SOBHA PANDEY,Independent
61,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PRASA-2024-20240504015557.jpg,lost,177,( -53162),PRASANTA KUMAR ROUT,Independent
62,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SANJI-2024-20240506050210.jpg,lost,146,( -53193),SANJIT KUMAR SAMAL,Independent
63,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/NILAM-2024-20240506050540.jpg,lost,97,( -53242),NILAMADHABA DAS,Independent
64,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/RAJES-2024-20240504042737.jpg,lost,88,( -53251),RAJESH KUMAR PATRA,Independent
65,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/NARAS-2024-20240506065548.jpg,lost,85,( -53254),NARASINGHA PATI,Independent
66,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/ARIFK-2024-20240503031345.jpg,lost,83,( -53256),ARIF KHAN,SamruddhaOdisha
67,Odisha,Rajgangpur(13),img/nota.jpg,,585,( -52754),NOTA,None of the Above
68,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/PRAFU-2024-20240506104525.jpg,won,53530,(+ 7857),PRAFULLA CHANDRA PRADHAN,Indian National Congress
69,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/MANAG-2024-20240502084755.jpg,lost,45673,( -7857),MANAGOBINDA PRADHAN,Bharatiya Janata Party
70,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SALUG-2024-20240501084217.jpg,lost,40373,( -13157),SALUGA PRADHAN,Biju Janata Dal
71,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/JAUBA-2024-20240430075206.jpg,lost,1134,( -52396),JAUBAN MALLICK,Aam Aadmi Party
72,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PRADE-2024-20240430083431.jpg,lost,835,( -52695),PRADEEP KUMAR KONHAR,Independent
73,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SIREL-2024-20240503073715.jpg,lost,532,( -52998),SIREL PRADHAN,Manas Lokshakti Dal
74,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SANJA-2024-20240503082341.jpg,lost,441,( -53089),SANJAYA KUMAR PRADHAN,Kalinga Sena
75,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PRADE-2024-20240502085844.jpg,lost,426,( -53104),PRADEEP PRADHAN,National Apni Party
76,Odisha,Rajgangpur(13),img/nota.jpg,,1507,( -52023),NOTA,None of the Above
77,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SAGAR-2024-20240424015059.jpg,won,67085,(+ 13741),SAGAR CHARAN DAS,Indian National Congress
78,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/PRADI-2024-20240429054640.jpg,lost,53344,( -13741),PRADIPTA KUMAR NAIK,Bharatiya Janata Party
79,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/LALIT-2024-20240429061420.jpg,lost,50897,( -16188),LALITA NAIK,Biju Janata Dal
80,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/ROHIT-2024-20240420055513.jpg,lost,1435,( -65650),ROHIT DURGA,Independent
81,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/RAMES-2024-20240424020000.jpg,lost,1194,( -65891),RAMESH NAIK,Aam Aadmi Party
82,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/SUGRI-2024-20240429061503.jpg,lost,1176,( -65909),SUGRI DEEP,Bahujan Samaj Party
83,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SANJA-2024-20240425050324.jpg,lost,668,( -66417),SANJAYA SUNANI,Independent
84,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/MAHEN-2024-20240420054620.jpg,lost,617,( -66468),MAHENDRA DHANGADA MAJHI,Independent
85,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/DURYO-2024-20240425040504.jpg,lost,584,( -66501),DURYODHAN THAKUR,Samajwadi Party
86,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/RAMES-2024-20240429054755.jpg,lost,572,( -66513),RAMESH KUMAR MAHANAND,Independent
87,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/CHHAY-2024-20240429054723.jpg,lost,379,( -66706),CHHAYAKANTI KHAMARI,Independent
88,Odisha,Rajgangpur(13),img/nota.jpg,,1469,( -65616),NOTA,None of the Above
89,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/ASHOK-2024-20240513050226.jpg,won,77843,(+ 631),ASHOK KUMAR DAS,Indian National Congress
90,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/BISHN-2024-20240513043523.jpg,lost,77212,( -631),BISHNUBRATA ROUTRAY,Biju Janata Dal
91,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/BANIK-2024-20240513045454.jpg,lost,42278,( -35565),BANIKALYAN MOHANTY,Bharatiya Janata Party
92,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/BHAGA-2024-20240514053741.jpg,lost,448,( -77395),BHAGABAT MALIK,Bahujan Samaj Party
93,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/MANAS-2024-20240514052156.jpg,lost,285,( -77558),MANAS RANJAN JENA,Independent
94,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/LAXMI-2024-20240514062112.jpg,lost,228,( -77615),LAXMIKANTA PARIDA,Independent
95,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/BIREN-2024-20240514064127.jpg,lost,202,( -77641),BIRENDRA SHIAL,Independent
96,Odisha,Rajgangpur(13),img/nota.jpg,,555,( -77288),NOTA,None of the Above
97,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/CSR-2024-20240531083201.jpg,won,66869,(+ 10184),C.S. RAAZEN EKKA,Indian National Congress
98,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/ANILB-2024-20240531085547.jpg,lost,56685,( -10184),ANIL BARWA,Biju Janata Dal
99,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/NARAS-2024-20240531085654.jpg,lost,52655,( -14214),NARASINGHA MINZ,Bharatiya Janata Party
100,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/LEONI-2024-20240531075105.jpg,lost,1621,( -65248),LEONI TIRKEY,Socialist Unity Centre Of India (COMMUNIST)
101,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/GREGO-2024-20240531090007.jpg,lost,1268,( -65601),GREGORY MINZ,Independent
102,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/ROSAN-2024-20240531085717.jpg,lost,988,( -65881),ROSAN EKKA,National Apni Party
103,Odisha,Rajgangpur(13),img/nota.jpg,,1944,( -64925),NOTA,None of the Above
104,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/MANGU-2024-20240425064608.jpg,won,55550,(+ 9159),MANGU KHILLA,Indian National Congress
105,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/DAMBA-2024-20240425071116.jpg,lost,46391,( -9159),DAMBARU SISA,Bharatiya Janata Party
106,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/LAXMI-2024-20240424103514.jpg,lost,35143,( -20407),LAXMIPRIYA NAYAK,Biju Janata Dal
107,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/RAGHU-2024-20240424075855.jpg,lost,3839,( -51711),RAGHUNATH HANTAL,Communist Party of India  (Marxist)
108,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/RAJEN-2024-20240423080339.jpg,lost,2452,( -53098),RAJENDRA PALASI,Bahujan Samaj Party
109,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/GHENU-2024-20240425065935.jpg,lost,2432,( -53118),GHENU MUDULI,Republican Party of India (A)
110,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SARAT-2024-20240425080818.jpg,lost,2240,( -53310),SARAT CHANDRA BURUDA,Aam Aadmi Party
111,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PADIA-2024-20240425072800.jpg,lost,2221,( -53329),PADIA PADIAMI,Independent
112,Odisha,Rajgangpur(13),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/LAXMA-2024-20240425074822.jpg,lost,1843,( -53707),LAXMAN MADKAMI,Janta Darbar Party
113,Odisha,Rajgangpur(13),img/nota.jpg,,5065,( -50485),NOTA,None of the Above
114,Odisha,Padampur(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/RUPES-2024-20240422033305.jpg,won,56027,(+ 3998),RUPESH KUMAR PANIGRAHI,Biju Janata Dal
115,Odisha,Padampur(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/KODUR-2024-20240424064652.jpg,lost,52029,( -3998),KODURU NARAYANA RAO,Bharatiya Janata Party
116,Odisha,Padampur(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/BIJAY-2024-20240424062719.jpg,lost,35674,( -20353),BIJAY KUMAR PATNAIK,Indian National Congress
117,Odisha,Padampur(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/MANOJ-2024-20240425071744.jpg,lost,1342,( -54685),MANOJ KUMAR BADONAIK,Aam Aadmi Party
118,Odisha,Padampur(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/SANJA-2024-20240425065733.jpg,lost,597,( -55430),SANJAY KUMAR RAUT,Independent
119,Odisha,Padampur(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/BIKAS-2024-20240424083443.jpg,lost,434,( -55593),BIKASH CHANDRA SINGH,Independent
120,Odisha,Padampur(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PAILA-2024-20240424065658.jpg,lost,429,( -55598),PAILA MURALI KRISHNA,All India Forward Bloc
121,Odisha,Padampur(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/BIDYA-2024-20240425073721.jpg,lost,399,( -55628),BIDYADHARA MOHANKUDO,Independent
122,Odisha,Padampur(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/AMODH-2024-20240420043109.jpg,lost,348,( -55679),AMODH KUMAR BARDHAN,Independent
123,Odisha,Padampur(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/PRAVI-2024-20240425104659.jpg,lost,302,( -55725),PRAVINDRA SINGH,Manas Lokshakti Dal
124,Odisha,Padampur(1),img/nota.jpg,,1488,( -54539),NOTA,None of the Above
125,Odisha,Bijepur(2),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/NARAS-2024-20240429103341.jpg,won,78679,(+ 14890),NARASINGA MADKAMI,Bharatiya Janata Party
126,Odisha,Bijepur(2),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/MALAM-2024-20240424073320.jpg,lost,63789,( -14890),MALA MADHI,Indian National Congress
127,Odisha,Bijepur(2),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/MANAS-2024-20240429103419.jpg,lost,34688,( -43991),MANAS MADKAMI,Biju Janata Dal
128,Odisha,Bijepur(2),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/BHAGA-2024-20240425075334.jpg,lost,2717,( -75962),BHAGABAN HANTAL,Republican Party of India (A)
129,Odisha,Bijepur(2),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S18/LALIT-2024-20240429103447.jpg,lost,2261,( -76418),LALIT NARAYAN MADKAMI,Independent
130,Odisha,Bijepur(2),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s18/DULLA-2024-20240424082908.jpg,lost,2187,( -76492),DULLA MADKAMI,Independent
131,Odisha,Bijepur(2),img/nota.jpg,,4102,( -74577),NOTA,None of the Above
132,Andhra Pradesh,Etcherla(7),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/SATYA-2024-20240423015508.jpg,won,106544,(+ 3734),SATYA KUMAR YADAV,Bharatiya Janata Party
133,Andhra Pradesh,Etcherla(7),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/KETHI-2024-20240418081614.jpg,lost,102810,( -3734),KETHIREDDY VENKATA RAMI REDDY,Yuvajana Sramika Rythu Congress Party
134,Andhra Pradesh,Etcherla(7),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/RANGA-2024-20240424045528.jpg,lost,3758,( -102786),RANGANA ASWARTHA NARAYANA,Indian National Congress
135,Andhra Pradesh,Etcherla(7),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/SHEKA-2024-20240423025428.jpg,lost,1155,( -105389),SHEK AYAZ,Navataram Party
136,Andhra Pradesh,Etcherla(7),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/VINAY-2024-20240419035027.jpg,lost,1095,( -105449),VINAY KUMAR SAKE,Bahujan Samaj Party
137,Andhra Pradesh,Etcherla(7),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/DARAS-2024-20240424023047.jpg,lost,616,( -105928),DARA SHANKAR,Jaibhim Rao Bharat Party
138,Andhra Pradesh,Etcherla(7),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/RAVIN-2024-20240425015411.jpg,lost,611,( -105933),RAVINDRA REDDY NAGU,Independent
139,Andhra Pradesh,Etcherla(7),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/DSREE-2024-20240425051919.jpg,lost,466,( -106078),D SREERAMULU NAIK,Independent
140,Andhra Pradesh,Etcherla(7),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/BEERE-2024-20240424042131.jpg,lost,251,( -106293),BEERE SOMA SEKHAR,Independent
141,Andhra Pradesh,Etcherla(7),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/DASAR-2024-20240420033339.jpg,lost,184,( -106360),DASARI KAVITHA,Independent
142,Andhra Pradesh,Etcherla(7),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/BILLE-2024-20240423011356.jpg,lost,137,( -106407),BILLE NARENDRA,Independent
143,Andhra Pradesh,Etcherla(7),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/ILIYA-2024-20240425045435.jpg,lost,132,( -106412),ILIYAZ AHMMAD SAYYAD,Independent
